Date,Open,High,Low,Close,Adj Close,Volume
2019-08-01,53.474998,54.507500,51.685001,52.107498,50.555874,216071600
2019-08-02,51.382500,51.607498,50.407501,51.005001,49.486206,163448400
2019-08-05,49.497501,49.662498,48.145000,48.334999,46.895699,209572000
2019-08-06,49.077499,49.517502,48.509998,49.250000,47.783459,143299200
2019-08-07,48.852501,49.889999,48.455002,49.759998,48.278275,133457600
2019-08-08,50.049999,50.882500,49.847500,50.857498,49.343094,108038000
2019-08-09,50.325001,50.689999,49.822498,50.247501,48.936489,98478800
2019-08-12,49.904999,50.512501,49.787498,50.119999,48.812305,89927600
2019-08-13,50.255001,53.035000,50.119999,52.242500,50.879436,188874000
2019-08-14,50.790001,51.610001,50.647499,50.687500,49.365013,146189600
2019-08-15,50.865002,51.285000,49.917500,50.435001,49.119099,108909600
2019-08-16,51.070000,51.790001,50.959999,51.625000,50.278038,110481600
2019-08-19,52.654999,53.182499,52.507500,52.587502,51.215431,97654400
2019-08-20,52.720001,53.337502,52.580002,52.590000,51.217876,107537200
2019-08-21,53.247501,53.412498,52.900002,53.160000,51.772995,86141600
2019-08-22,53.297501,53.610001,52.687500,53.115002,51.729164,89014800
2019-08-23,52.357498,53.012501,50.250000,50.660000,49.338219,187272000
2019-08-26,51.465000,51.797501,51.264999,51.622501,50.275608,104174400
2019-08-27,51.965000,52.137501,50.882500,51.040001,49.708313,103493200
2019-08-28,51.025002,51.430000,50.830002,51.382500,50.041878,63755200
2019-08-29,52.125000,52.330002,51.665001,52.252499,50.889175,83962000
2019-08-30,52.540001,52.612499,51.799999,52.185001,50.823444,84573600
2019-09-03,51.607498,51.744999,51.055000,51.424999,50.083260,80092000
2019-09-04,52.097500,52.369999,51.830002,52.297501,50.933006,76752400
2019-09-05,53.000000,53.492500,52.877499,53.320000,51.928822,95654800
2019-09-06,53.512501,53.605000,53.127499,53.314999,51.923954,77449200
2019-09-09,53.709999,54.110001,52.767502,53.542500,52.145512,109237600
2019-09-10,53.465000,54.195000,52.927502,54.174999,52.761517,127111600
2019-09-11,54.517502,55.927502,54.432499,55.897499,54.439068,177158400
2019-09-12,56.200001,56.605000,55.715000,55.772499,54.317341,128906800
2019-09-13,55.000000,55.197498,54.255001,54.687500,53.260647,159053200
2019-09-16,54.432499,55.032501,54.389999,54.974998,53.540642,84632400
2019-09-17,54.990002,55.205002,54.779999,55.174999,53.735424,73274800
2019-09-18,55.264999,55.712502,54.860001,55.692501,54.239426,101360000
2019-09-19,55.502499,55.939999,55.092499,55.240002,53.798737,88242400
2019-09-20,55.345001,55.639999,54.367500,54.432499,53.012291,221652400
2019-09-23,54.737499,54.959999,54.412498,54.680000,53.253342,76662000
2019-09-24,55.257500,55.622501,54.297501,54.419998,53.000114,124763200
2019-09-25,54.637501,55.375000,54.285000,55.257500,53.815769,87613600
2019-09-26,55.000000,55.235001,54.707500,54.972500,53.538204,75334000
2019-09-27,55.134998,55.240002,54.320000,54.705002,53.277695,101408000
2019-09-30,55.224998,56.145000,55.197498,55.992500,54.531601,103909600
2019-10-01,56.267502,57.055000,56.049999,56.147499,54.682545,139223200
2019-10-02,55.764999,55.895000,54.482498,54.740002,53.311779,138449200
2019-10-03,54.607498,55.240002,53.782501,55.205002,53.764645,114426000
2019-10-04,56.410000,56.872501,55.972500,56.752499,55.271759,138478800
2019-10-07,56.567501,57.482498,56.459999,56.764999,55.283939,122306000
2019-10-08,56.455002,57.014999,56.082500,56.099998,54.636284,111820000
2019-10-09,56.757500,56.947498,56.410000,56.757500,55.276634,74770400
2019-10-10,56.982498,57.610001,56.825001,57.522499,56.021671,113013600
2019-10-11,58.237499,59.410000,58.077499,59.052502,57.511765,166795600
2019-10-14,58.724998,59.532501,58.667500,58.967499,57.428970,96427600
2019-10-15,59.097500,59.412498,58.720001,58.830002,57.295055,87360000
2019-10-16,58.342499,58.810001,58.299999,58.592499,57.063755,73903200
2019-10-17,58.772499,59.037498,58.380001,58.820000,57.285320,67585200
2019-10-18,58.647499,59.395000,58.572498,59.102501,57.560455,97433600
2019-10-21,59.380001,60.247501,59.330002,60.127499,58.558701,87247200
2019-10-22,60.290001,60.549999,59.904999,59.990002,58.424801,82293600
2019-10-23,60.525002,60.810001,60.305000,60.794998,59.208786,75828800
2019-10-24,61.127499,61.200001,60.452499,60.895000,59.306187,69275200
2019-10-25,60.790001,61.682499,60.720001,61.645000,60.036621,73477200
2019-10-28,61.855000,62.312500,61.680000,62.262501,60.638008,96572800
2019-10-29,62.242500,62.437500,60.642502,60.822498,59.235569,142839600
2019-10-30,61.189999,61.325001,60.302502,60.814999,59.228268,124522000
2019-10-31,61.810001,62.292500,59.314999,62.189999,60.567394,139162000
2019-11-01,62.384998,63.982498,62.290001,63.955002,62.286335,151125200
2019-11-04,64.332497,64.462502,63.845001,64.375000,62.695381,103272000
2019-11-05,64.262497,64.547501,64.080002,64.282501,62.605309,79897600
2019-11-06,64.192497,64.372498,63.842499,64.309998,62.632076,75864400
2019-11-07,64.684998,65.087502,64.527496,64.857498,63.354931,94940400
2019-11-08,64.672501,65.110001,64.212502,65.035004,63.528328,69986400
2019-11-11,64.574997,65.617500,64.570000,65.550003,64.031380,81821200
2019-11-12,65.387497,65.697502,65.230003,65.489998,63.972794,87388800
2019-11-13,65.282501,66.195000,65.267502,66.117500,64.585747,102734400
2019-11-14,65.937500,66.220001,65.525002,65.660004,64.138863,89182800
2019-11-15,65.919998,66.445000,65.752502,66.440002,64.900787,100206400
2019-11-18,66.449997,66.857498,66.057503,66.775002,65.227997,86703200
2019-11-19,66.974998,67.000000,66.347504,66.572502,65.030190,76167200
2019-11-20,66.385002,66.519997,65.099998,65.797501,64.273148,106234400
2019-11-21,65.922501,66.002502,65.294998,65.502502,63.984997,121395200
2019-11-22,65.647499,65.794998,65.209999,65.445000,63.928825,65325200
2019-11-25,65.677498,66.610001,65.629997,66.592499,65.049736,84020400
2019-11-26,66.735001,66.790001,65.625000,66.072502,64.541786,105207600
2019-11-27,66.394997,66.995003,66.327499,66.959999,65.408737,65235600
2019-11-29,66.650002,67.000000,66.474998,66.812500,65.264641,46617600
2019-12-02,66.817497,67.062500,65.862503,66.040001,64.510048,94487200
2019-12-03,64.577499,64.882500,64.072502,64.862503,63.359818,114430400
2019-12-04,65.267502,65.827499,65.169998,65.434998,63.919048,67181600
2019-12-05,65.947502,66.472504,65.682503,66.394997,64.856827,74424400
2019-12-06,66.870003,67.750000,66.824997,67.677498,66.109612,106075600
2019-12-09,67.500000,67.699997,66.227501,66.730003,65.184052,128042400
2019-12-10,67.150002,67.517502,66.464996,67.120003,65.565018,90420400
2019-12-11,67.202499,67.775002,67.125000,67.692497,66.124252,78756800
2019-12-12,66.945000,68.139999,66.830002,67.864998,66.292763,137310400
2019-12-13,67.864998,68.824997,67.732498,68.787498,67.193893,133587600
2019-12-16,69.250000,70.197502,69.245003,69.964996,68.344086,128186000
2019-12-17,69.892502,70.442497,69.699997,70.102501,68.478424,114158400
2019-12-18,69.949997,70.474998,69.779999,69.934998,68.314804,116028400
2019-12-19,69.875000,70.294998,69.737503,70.004997,68.383179,98369200
2019-12-20,70.557503,70.662498,69.639999,69.860001,68.241547,275978000
2019-12-23,70.132500,71.062500,70.092499,71.000000,69.355125,98572000
2019-12-24,71.172501,71.222504,70.730003,71.067497,69.421066,48478800
2019-12-26,71.205002,72.495003,71.175003,72.477501,70.798401,93121200
2019-12-27,72.779999,73.492500,72.029999,72.449997,70.771538,146266000
2019-12-30,72.364998,73.172501,71.305000,72.879997,71.191574,144114400
2019-12-31,72.482498,73.419998,72.379997,73.412498,71.711739,100805600
2020-01-02,74.059998,75.150002,73.797501,75.087502,73.347931,135480400
2020-01-03,74.287498,75.144997,74.125000,74.357498,72.634842,146322800
2020-01-06,73.447502,74.989998,73.187500,74.949997,73.213631,118387200
2020-01-07,74.959999,75.224998,74.370003,74.597504,72.869301,108872000
2020-01-08,74.290001,76.110001,74.290001,75.797501,74.041481,132079200
2020-01-09,76.809998,77.607498,76.550003,77.407501,75.614212,170108400
2020-01-10,77.650002,78.167503,77.062500,77.582497,75.785126,140644800
2020-01-13,77.910004,79.267502,77.787498,79.239998,77.404228,121532000
2020-01-14,79.175003,79.392502,78.042503,78.169998,76.359016,161954400
2020-01-15,77.962502,78.875000,77.387497,77.834999,76.031792,121923600
2020-01-16,78.397499,78.925003,78.022499,78.809998,76.984192,108829200
2020-01-17,79.067497,79.684998,78.750000,79.682503,77.836479,137816400
2020-01-21,79.297501,79.754997,79.000000,79.142502,77.309013,110843200
2020-01-22,79.644997,79.997498,79.327499,79.425003,77.584938,101832400
2020-01-23,79.480003,79.889999,78.912498,79.807503,77.958588,104472000
2020-01-24,80.062500,80.832497,79.379997,79.577499,77.733917,146537600
2020-01-27,77.514999,77.942497,76.220001,77.237503,75.448112,161940000
2020-01-28,78.150002,79.599998,78.047501,79.422501,77.582512,162234000
2020-01-29,81.112503,81.962502,80.345001,81.084999,79.206482,216229200
2020-01-30,80.135002,81.022499,79.687500,80.967499,79.091713,126743200
2020-01-31,80.232498,80.669998,77.072502,77.377502,75.584892,199588400
